Market_Rate,Friction,Rate_Velocity,CPR_US,CPR_Danish,Cohort_Coupon
0.06000000000000001,0.065,-0.01,0.0779,0.5373,0.015
0.065,0.065,-0.01,0.0612,0.5319,0.015
0.07,0.065,-0.01,0.0452,0.5246,0.015
0.07500000000000001,0.065,-0.01,0.0344,0.5204,0.015
0.08000000000000002,0.065,-0.01,0.0263,0.5141,0.015
0.02,0.065,-0.005,0.5457,0.5999,0.015
0.025,0.065,-0.005,0.4819,0.5896,0.015
0.030000000000000002,0.065,-0.005,0.3859,0.5806,0.015
0.035,0.065,-0.005,0.2943,0.5717,0.015
0.04000000000000001,0.065,-0.005,0.2262,0.5634,0.015
0.045000000000000005,0.065,-0.005,0.1723,0.556,0.015
0.05,0.065,-0.005,0.1312,0.5497,0.015
0.05500000000000001,0.065,-0.005,0.1012,0.5432,0.015
0.06000000000000001,0.065,-0.005,0.0779,0.5373,0.015
0.065,0.065,-0.005,0.0612,0.5319,0.015
0.07,0.065,-0.005,0.0452,0.5246,0.015
0.07500000000000001,0.065,-0.005,0.0344,0.5204,0.015
0.08000000000000002,0.065,-0.005,0.0263,0.5141,0.015
0.02,0.065,0.0,0.5457,0.5999,0.015
0.025,0.065,0.0,0.4819,0.5896,0.015
0.030000000000000002,0.065,0.0,0.3859,0.5806,0.015
0.035,0.065,0.0,0.2943,0.5717,0.015
0.04000000000000001,0.065,0.0,0.2262,0.5634,0.015
0.045000000000000005,0.065,0.0,0.1723,0.556,0.015
0.05,0.065,0.0,0.1312,0.5497,0.015
0.05500000000000001,0.065,0.0,0.1012,0.5432,0.015
0.06000000000000001,0.065,0.0,0.0779,0.5373,0.015
0.065,0.065,0.0,0.0612,0.5319,0.015
0.07,0.065,0.0,0.0452,0.5246,0.015
0.07500000000000001,0.065,0.0,0.0344,0.5204,0.015
0.08000000000000002,0.065,0.0,0.0263,0.5141,0.015
0.02,0.065,0.005,0.5457,0.5999,0.015
0.025,0.065,0.005,0.4819,0.5896,0.015
0.030000000000000002,0.065,0.005,0.3859,0.5806,0.015
