rep,converged,fit_method,failure,gap_std,burn_std,fric_std,head_const,head_age_linear,head_age_spline_12,head_age_spline_24,head_age_spline_36,head_age_spline_60,head_age_spline_84,head_age_spline_120,head_rate_gap_bps,head_burnout_orth,head_friction,resc_rate_gap_bps,resc_burnout_orth,resc_friction
49,True,"ridge(alpha=0.0001, warm_start)",,223.6069151468731,0.1192523395205704,0.004097967567322921,-4.390863884565018,0.0565853287389724,-0.004043946970813737,0.004974170151153198,-0.001313433549464644,0.0022405445446671297,1.70704417237803e-08,-1.165375310968012e-07,0.7302936007402432,-0.155614606173712,-0.023673751399376705,0.7216724992250798,-0.15689252809111656,-0.02359003314333712
50,True,"ridge(alpha=0.0001, warm_start)",,224.96586609649074,0.12349043448262458,0.00409811960528532,-3.276308572826533,0.04212523598475435,-0.0030754670913606882,0.003309980975618422,-0.000507436047049161,0.0014650316073339476,6.012345329129924e-05,-0.0015009582536773807,0.74510558632986,-0.11155352713963324,-0.0534085048834468,0.7318618052088706,-0.10860974621175278,-0.05321766023392108
51,True,"ridge(alpha=0.0001, warm_start)",,218.15320568728384,0.1272415955508308,0.004071095638960219,-3.792088891919631,0.05193646770251707,-0.004320198983926044,0.005742940073377259,-0.002209041125488617,0.0033421064657258625,7.110931273800652e-08,1.1140391234211005e-06,0.6403866008139765,-0.11113043352599197,-0.0587189417431112,0.6486471708158973,-0.1050080789004363,-0.05889750533397986
52,True,"ridge(alpha=0.0001, warm_start)",,223.19112474497157,0.12976515341656494,0.004079919586286808,-3.944353780943863,0.05591298041953628,-0.003539543836874352,0.0032520133222019715,0.00023482287833695775,0.0012593381223444137,1.3453280081455904e-06,-2.861514465376454e-07,0.7222982199972964,-0.14632337839084353,-0.010790426823440412,0.7151012132109814,-0.13557338706368618,-0.01079983214905215
53,True,"ridge(alpha=0.0001, warm_start)",,216.42554086908783,0.1275765658616511,0.004084953688046189,-16.819879401471212,-191.0213041942728,-1003.9094130403745,-157.52926800634074,-17.632904765271974,0.017612985399498786,9.30533811171632e-09,3.68977524662439e-08,3.196286673214428,-1.433112090278641,-0.25233289278876647,3.2633608833150505,-1.3506040987532948,-0.2522416012006858
54,True,"ridge(alpha=0.0001, warm_start)",,223.20414511103888,0.12371808563331795,0.0040858801631538785,-3.5080973092034973,0.04873170384908445,-0.00400097820352015,0.004574629238233409,-0.0009227467458755425,0.00246997096866139,-0.0010009249767777546,-0.0010388187669220764,0.6712331703037202,-0.06278475078742596,-0.03701132113026905,0.664506212110502,-0.061015446605521266,-0.03698954149708098
55,True,"ridge(alpha=0.0001, warm_start)",,221.2863795775201,0.12079462513936927,0.004076911892380945,-4.550677785907821,0.055104733910730036,-0.003759174084921937,0.0042101335903945115,-0.0010867312699554233,0.003236410252984896,-2.1118397688675653e-08,1.7846239976236784e-07,0.6755796025723315,-0.15801833708789612,-0.027069302676242926,0.6746052803704756,-0.1572818785830966,-0.027112884724818515
56,True,"ridge(alpha=0.0001, warm_start)",,221.9179180182928,0.12715681072905638,0.00408949065500484,-3.521335683077363,0.04043083099474525,-0.004026266483233361,0.0056078220316371245,-0.0023052333024536006,0.0025379339596484224,-1.4858886853009824e-07,-6.677493093755343e-07,0.6333324957281166,-0.1213048214113515,-0.06288618943482906,0.6306193514797785,-0.11469837026663075,-0.06279369580240153
57,True,"ridge(alpha=0.0001, warm_start)",,224.0615823263696,0.12445651103121887,0.004092033510871247,-14.836065474037454,-171.38913585463766,-1002.7522495882799,-184.66073178944583,-22.84019761782225,0.04570545136461495,9.305338111704827e-09,3.689775246619833e-08,2.986268929992685,-0.09427296391164486,0.37961427201366693,2.945027863831413,-0.0910727289942605,0.3788203800773986
58,True,"ridge(alpha=0.0001, warm_start)",,220.28165854447974,0.12342468769176416,0.004086979533993902,-3.4497461809250343,0.040331605146708006,-0.0034019033154886265,0.004411136153093815,-0.001855350553277439,0.003487668065169799,-1.4834344817678223e-06,-7.714339232225402e-07,0.6668357531493685,-0.15339884101170126,-0.03927624695354322,0.6689111423859405,-0.14943036331960521,-0.03924257566791497
59,True,"ridge(alpha=0.0001, warm_start)",,228.4922845991178,0.11726603272273123,0.004078699085867576,-4.053340212887059,0.06477880385111247,-0.004588772269808245,0.005584464904896255,-0.0015802421522406907,0.0027694195856978574,4.223110128328251e-07,-2.582956481979852e-07,0.7388218676566503,-0.10030029951257748,-0.01111867658384236,0.7144898970502718,-0.10283686018421859,-0.011131698050737415
60,True,"ridge(alpha=0.0001, warm_start)",,215.27638150726378,0.1244586782480747,0.00407781569242188,-3.9272466122938754,0.0549763458479699,-0.004077198286048931,0.004894587027287294,-0.0013516165081097207,0.0024096954601894273,1.9804223714141328e-08,9.192212267777975e-08,0.6679047017957422,-0.14559352603923187,-0.024649726448375826,0.6855608472344177,-0.14064868970705538,-0.024683940818175584
61,True,"ridge(alpha=0.0001, warm_start)",,220.65209484726876,0.11875684668526704,0.0040772430136295544,-3.2918735845644664,0.05208688800683485,-0.004311135574162806,0.0052214281447450816,-0.0010854632358388754,0.0012288936514267333,1.4812752048614855e-07,-6.080963237420284e-08,0.6627353898184373,-0.12404078171584747,-0.035907658246060216,0.6636819378354617,-0.1255812056299677,-0.035962549371542786
62,True,"ridge(alpha=0.0001, warm_start)",,218.38631261813006,0.12435344263985319,0.004070255452170195,-13.875792736571995,-162.411696901509,-1003.1626665151972,-190.351988710273,-24.144125345106044,-0.06672773444955234,9.305338111698556e-09,3.6897752466173454e-08,1.9911075459343137,0.12037452295272713,0.6548687874226453,2.014638800230016,0.11638461575357156,0.6569958253177846
63,True,"ridge(alpha=0.0001, warm_start)",,225.80948262221028,0.12449815667592296,0.004081830309253152,-10.069576679571796,-133.32810231016407,-1012.2061671870017,-164.3958834124157,-14.998045278986398,0.002756177503028881,1.543922829033231e-05,-7.783188764095788e-05,3.2741240711587287,-1.3111433625302515,0.6645845321585176,3.2039139845176257,-1.26621096611088,0.6648524418876914
64,True,"ridge(alpha=0.0001, warm_start)",,216.99055153955092,0.11699613863449242,0.004078322660627791,-65.94479071871221,-45.1190832304762,-983.320074697932,-308.49306310356656,-69.08883669124054,-1.61120166577312,1.720650177876992e-13,-3.797405319222489e-14,1.763265908891484,0.1526990627564549,0.10989239861290578,1.7955804913879547,0.15692193472082286,0.11003125224456106
65,True,"ridge(alpha=0.0001, warm_start)",,218.3026408554309,0.12155066464482579,0.004076343481834912,-15.222135414249347,-179.4053156379061,-1003.6475137272421,-171.95205682229675,-20.887037240738895,-0.28783731835917364,9.30533811173671e-09,3.689775246632474e-08,1.7834363549783918,-0.3494667373574737,0.6034622858215125,1.8052049549918032,-0.3456744802113768,0.6045181536393323
66,True,"ridge(alpha=0.0001, warm_start)",,225.08240215164147,0.12990366932073874,0.004097161510678706,-3.789798936382638,0.04172839069755298,-0.0033259963845630796,0.0038610750967816706,-0.0009597779347409164,0.0023584077577968538,-1.8010475697855135e-07,9.97952644017714e-07,0.6833043863318405,-0.17615645055061996,-0.03091702174471282,0.6708115909558051,-0.16304066701125902,-0.030813749838986142
67,True,"ridge(alpha=0.0001, warm_start)",,224.47185320572308,0.11852252815725037,0.0040725183894107725,-13.989555209599981,-170.53743576418907,-1005.5136095523785,-170.7436164832175,-15.311079752440943,-0.013015888381092432,9.305338111716151e-09,3.689775246624323e-08,0.9693668586667558,0.6728594868918052,1.237883820162662,0.9542324179420899,0.6825622798735835,1.2412144351450374
68,True,"ridge(alpha=0.0001, warm_start)",,220.7680953223071,0.1185021375824079,0.00408667006769252,-3.670855246889172,0.04970100712216303,-0.004202293392415593,0.0052977508703909385,-0.0014795003490577897,0.0017287836888168577,-8.805694342596883e-08,4.482354050417744e-08,0.6592912616140902,-0.10723807402490218,-0.04457713386877838,0.6598859775444693,-0.10880319088545201,-0.04454229090987659
69,True,"ridge(alpha=0.0001, warm_start)",,222.711818689488,0.12263443891245959,0.004090850140678089,-16.138727826198398,-185.15301646309098,-1004.9944004764768,-157.7161980436248,-17.196078534769487,0.00156934395421052,9.30533811171732e-09,3.689775246624786e-08,3.526388053447222,-2.159854319731114,-0.27943817387556114,3.4987646353775137,-2.1175360950580093,-0.2789344461428123
70,True,"ridge(alpha=0.0001, warm_start)",,218.49440074249932,0.11925956182263193,0.004077418790575449,-3.6343979472482437,0.045972740164986564,-0.00403433646184717,0.0052485399232090795,-0.0019473911009383906,0.0033619460248656943,3.8536620937811745e-08,-8.290287997572963e-08,0.6158192605356438,-0.10027187952047098,-0.049939652600742845,0.6227888762238207,-0.10108919942890318,-0.050013837897317184
71,True,"ridge(alpha=0.0001, warm_start)",,217.21896867890428,0.12278794953143608,0.004077280214658583,-4.529875683178075,0.04967293194503455,-0.0035839261746245083,0.004179596534628531,-0.0010928868296942213,0.001975297306594967,0.0004936498193496138,-0.0005985203477288613,0.6934470754443322,-0.15852659430612298,-0.05141951436240885,0.7054130089748843,-0.15522625992128036,-0.05149764820062415
72,True,"ridge(alpha=0.0001, warm_start)",,219.77748794396638,0.12265036656533734,0.00407908004227816,-3.576003005949082,0.05068020010314998,-0.004160429239218177,0.0048632892380950634,-0.001218411103216544,0.0029560026265011935,-2.405891036859108e-07,3.96135149637674e-07,0.626488632526839,-0.1042301020607944,-0.021161605799522067,0.6298800904287849,-0.10217464171599074,-0.02118441023370161
73,True,"ridge(alpha=0.0001, warm_start)",,216.35134455395166,0.11969741501935566,0.0040764338351981936,-13.457913143522923,-164.1063336279027,-1003.9957151325998,-185.14063900668538,-18.00583069294682,0.048850338854230846,9.30533811172675e-09,3.6897752466285256e-08,0.8034897681056042,1.2144018234082548,1.4326392294443162,0.82063236880117,1.2198219673000303,1.4351140844929646
