rep,central_trapped_b,central_share_pct,null_trapped_b,null_share_pct,marginal_b,marginal_pp
36,818.189512654853,106.9880851910348,747.6999328978709,97.77072778486429,70.48957975698215,9.217357406170507
37,818.5799908939363,107.03914490087234,748.3193152053367,97.85171944517286,70.26067568859958,9.187425455699483
38,818.4210787811996,107.01836523749071,748.3449257488095,97.85506833068712,70.07615303239015,9.163296906803595
39,818.2148390337125,106.99139691862001,747.9844037840082,97.80792576275292,70.23043524970421,9.183471155867096
40,819.1272861542385,107.11071031576489,748.9593666255895,97.93541383970799,70.16791952864901,9.1752964760569
41,818.361434752814,107.01056606591573,747.9795707952488,97.80729379154683,70.3818639575652,9.2032722743689
42,818.5321220564998,107.03288547664552,748.0825590298296,97.82076073758387,70.44956302667026,9.21212473906165
43,818.3432503842229,107.00818824177365,748.0234691335502,97.8130340254233,70.31978125067269,9.195154216350346
44,818.7247725131834,107.05807683286919,748.3934843880422,97.86141795476644,70.33128812514121,9.196658878102753
45,818.3794444140822,107.01292104498134,747.8589000680108,97.7915146476613,70.52054434607135,9.221406397320038
46,819.0383269370425,107.0990778318957,748.7828591224878,97.91233336814655,70.25546781455466,9.18674446374915
47,818.2781823851062,106.99967982101657,747.939614135782,97.80206897942094,70.33856824932423,9.197610841595633
48,818.3979146915798,107.01533625513969,747.9099696356038,97.79819260571844,70.48794505597596,9.217143649421246
49,818.6541057906612,107.04883631192332,748.4763650436573,97.8722555938543,70.1777407470039,9.176580718069019
50,818.4221172704354,107.01850103240508,748.0338495904571,97.81439139457888,70.3882676799783,9.204109637826207
51,818.8088883944854,107.06907599252042,748.3690455468645,97.8582222833707,70.43984284762087,9.210853709149731
52,818.6547008829076,107.04891412736701,748.3873762744606,97.86061924570684,70.26732460844698,9.18829488166017
53,818.8620370844872,107.07602582075184,748.7176569018507,97.90380739631695,70.1443801826365,9.172218424434888
54,818.6998953958737,107.05482385161622,748.5783327877016,97.88558909852262,70.1215626081721,9.169234753093605
55,818.8157914136497,107.06997864501228,748.6742133223395,97.89812662760279,70.14157809131018,9.171852017409492
56,818.4587976605173,107.02329743304118,747.9029678058284,97.79727703255489,70.55582985468891,9.226020400486291
57,818.5875139929753,107.04012863623981,748.4080921626918,97.86332809638336,70.17942183028356,9.176800539856458
58,818.53928225991,107.03382175906002,748.3037335738275,97.84968196009936,70.23554868608255,9.184139798960658
59,818.5114197679176,107.03017840428608,748.1378743148546,97.8279938740823,70.373545453063,9.20218453020378
60,818.4501718889926,107.02216951003012,748.126628135556,97.82652330134792,70.32354375343664,9.195646208682206
61,818.8838103698832,107.07887293878112,748.4257852876924,97.86564168453818,70.45802508219083,9.213231254242942
62,818.7921339653584,107.06688515010183,748.4341629582556,97.86673716537489,70.35797100710283,9.20014798472694
63,818.699304652049,107.05474660478077,748.3345290261672,97.85370883459171,70.36477562588186,9.20103777018906
64,818.60045631278,107.04182099967447,748.3781802011039,97.85941674889588,70.22227611167614,9.182404250778589
65,818.5076637083478,107.02968725447907,748.3623664620757,97.85734891298236,70.1452972462721,9.172338341496712
66,818.9445864295881,107.08682013701906,748.614297813876,97.89029195675379,70.3302886157121,9.196528180265275
67,818.491399776434,107.02756055044998,748.2682735693204,97.84504513950414,70.22312620711364,9.18251541094584
68,818.5427556637038,107.03427594823656,748.051880389856,97.81674913770844,70.49087527384779,9.217526810528113
69,818.477691487229,107.0257680273357,748.1027570105725,97.82340186564893,70.37493447665645,9.202366161686768
70,818.8565393314011,107.07530692364251,748.7746069170101,97.91125429337353,70.08193241439096,9.164052630268984
71,818.702027765201,107.05510268446328,748.4899859930123,97.87403669623637,70.21204177218874,9.181065988226905
72,819.0302144746692,107.09801703020845,748.8913869011028,97.9265246759603,70.13882757356635,9.171492354248159
73,818.2336953417846,106.99386260690275,747.7684766893656,97.77969070713391,70.46521865241903,9.214171899768843
74,818.2420825052122,106.99495932904529,747.7665457574542,97.77943821464332,70.47553674775804,9.215521114401966
75,819.0706759893081,107.10330785819903,748.8339755588324,97.91901745485472,70.23670043047571,9.184290403344306
76,818.4792208358873,107.02596800800279,748.1112798832787,97.82451633340617,70.36794095260859,9.201451674596626
77,818.4154109299164,107.0176240980034,748.0616768871015,97.81803014713923,70.35373404281495,9.19959395086417
78,818.8670209050589,107.07667751502518,748.5968669486732,97.88801266221087,70.27015395638568,9.188664852814313
79,817.9832127088856,106.96110900049129,747.6497211123476,97.7641619920937,70.33349159653801,9.196947008397586
80,818.7635476908313,107.06314715208659,748.5249145218736,97.87860402002092,70.23863316895768,9.18454313206567
81,818.1068803627668,106.97728002845508,747.6050754909013,97.75832404198945,70.50180487186549,9.21895598646563
82,818.6389808329227,107.04685854241882,748.3418993660695,97.85467259487115,70.29708146685323,9.19218594754767
83,818.7045183871735,107.05542836313752,748.4870221614008,97.87364913973016,70.21749622577272,9.18177922340736
